Time(sec)	CellId	BwpId	txStreamId 	IMSI	rxStreamId	pathLoss(dB)
0	1	0	0	1	0	-103.375
0.005	1	0	0	1	0	-103.375
0.01	1	0	0	1	0	-103.375
0.015	1	0	0	1	0	-103.375
0.02	1	0	0	1	0	-103.375
0.025	1	0	0	1	0	-103.375
0.03	1	0	0	1	0	-103.375
0.035	1	0	0	1	0	-103.375
0.04	1	0	0	1	0	-103.375
0.045	1	0	0	1	0	-103.375
0.05	1	0	0	1	0	-103.375
0.055	1	0	0	1	0	-103.375
0.06	1	0	0	1	0	-103.375
0.065	1	0	0	1	0	-103.375
0.07	1	0	0	1	0	-103.375
0.075	1	0	0	1	0	-103.375
0.076	1	0	0	1	0	-103.375
0.08	1	0	0	1	0	-103.375
0.085	1	0	0	1	0	-103.375
0.09	1	0	0	1	0	-103.375
0.095	1	0	0	1	0	-103.375
0.1	1	0	0	1	0	-103.375
0.105	1	0	0	1	0	-123.879
0.11	1	0	0	1	0	-123.879
0.115	1	0	0	1	0	-123.879
0.12	1	0	0	1	0	-123.879
0.125	1	0	0	1	0	-123.879
0.13	1	0	0	1	0	-123.879
0.135	1	0	0	1	0	-123.879
0.14	1	0	0	1	0	-123.879
0.145	1	0	0	1	0	-123.879
0.15	1	0	0	1	0	-123.879
0.155	1	0	0	1	0	-123.879
0.156	1	0	0	1	0	-123.879
0.16	1	0	0	1	0	-123.879
0.165	1	0	0	1	0	-123.879
0.17	1	0	0	1	0	-123.879
0.175	1	0	0	1	0	-123.879
0.18	1	0	0	1	0	-123.879
0.185	1	0	0	1	0	-123.879
0.19	1	0	0	1	0	-123.879
0.195	1	0	0	1	0	-123.879
0.2	1	0	0	1	0	-123.879
0.205	1	0	0	1	0	-123.879
0.21	1	0	0	1	0	-123.879
0.215	1	0	0	1	0	-123.879
0.22	1	0	0	1	0	-123.879
0.225	1	0	0	1	0	-123.879
0.23	1	0	0	1	0	-123.879
0.235	1	0	0	1	0	-123.879
0.236	1	0	0	1	0	-123.879
0.24	1	0	0	1	0	-123.879
0.245	1	0	0	1	0	-123.879
0.25	1	0	0	1	0	-123.879
0.255	1	0	0	1	0	-123.879
0.26	1	0	0	1	0	-123.879
0.265	1	0	0	1	0	-123.879
0.27	1	0	0	1	0	-123.879
0.275	1	0	0	1	0	-123.879
0.28	1	0	0	1	0	-123.879
0.285	1	0	0	1	0	-123.879
0.29	1	0	0	1	0	-123.879
0.295	1	0	0	1	0	-123.879
0.3	1	0	0	1	0	-123.879
0.305	1	0	0	1	0	-123.879
0.31	1	0	0	1	0	-123.879
0.315	1	0	0	1	0	-123.879
0.316	1	0	0	1	0	-123.879
0.32	1	0	0	1	0	-123.879
0.325	1	0	0	1	0	-123.879
0.33	1	0	0	1	0	-123.879
0.335	1	0	0	1	0	-123.879
0.34	1	0	0	1	0	-123.879
0.345	1	0	0	1	0	-123.879
0.35	1	0	0	1	0	-123.879
0.355	1	0	0	1	0	-123.879
0.36	1	0	0	1	0	-123.879
0.365	1	0	0	1	0	-123.879
0.37	1	0	0	1	0	-123.879
0.375	1	0	0	1	0	-123.879
0.38	1	0	0	1	0	-123.879
0.385	1	0	0	1	0	-123.879
0.39	1	0	0	1	0	-123.879
0.395	1	0	0	1	0	-123.879
0.396	1	0	0	1	0	-123.879
0.4	1	0	0	1	0	-123.879
0.403	1	0	0	1	0	-123.879
0.403071	1	0	0	1	0	-123.879
0.404	1	0	0	1	0	-123.879
0.404071	1	0	0	1	0	-123.879
0.405	1	0	0	1	0	-123.879
0.405071	1	0	0	1	0	-123.879
0.406	1	0	0	1	0	-123.879
0.406071	1	0	0	1	0	-123.879
0.407	1	0	0	1	0	-123.879
0.407071	1	0	0	1	0	-123.879
0.408	1	0	0	1	0	-123.879
0.408071	1	0	0	1	0	-123.879
0.409	1	0	0	1	0	-123.879
0.409071	1	0	0	1	0	-123.879
0.41	1	0	0	1	0	-123.879
0.410071	1	0	0	1	0	-123.879
0.411	1	0	0	1	0	-123.879
0.411071	1	0	0	1	0	-123.879
0.412	1	0	0	1	0	-123.879
0.412071	1	0	0	1	0	-123.879
0.413	1	0	0	1	0	-123.879
0.413071	1	0	0	1	0	-123.879
0.414	1	0	0	1	0	-123.879
0.414071	1	0	0	1	0	-123.879
0.415	1	0	0	1	0	-123.879
0.415071	1	0	0	1	0	-123.879
0.416	1	0	0	1	0	-123.879
0.416071	1	0	0	1	0	-123.879
0.417	1	0	0	1	0	-123.879
0.417071	1	0	0	1	0	-123.879
0.418	1	0	0	1	0	-123.879
0.418071	1	0	0	1	0	-123.879
0.419	1	0	0	1	0	-123.879
0.419071	1	0	0	1	0	-123.879
0.42	1	0	0	1	0	-123.879
0.420071	1	0	0	1	0	-123.879
0.421	1	0	0	1	0	-123.879
0.421071	1	0	0	1	0	-123.879
0.422	1	0	0	1	0	-123.879
0.422071	1	0	0	1	0	-123.879
0.423	1	0	0	1	0	-123.879
0.423071	1	0	0	1	0	-123.879
