% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	stream	harqId	ndi	rv	mcs	tbSize
0.401	1	0	1	1	40	3	0	1	12	0	15	1	0	0	8312
0.402	1	0	1	1	40	4	0	1	12	0	14	1	0	0	8312
0.403	1	0	1	1	40	5	0	1	12	0	13	1	0	0	8312
0.404	1	0	1	1	40	6	0	1	12	0	12	1	0	0	8312
0.405	1	0	1	1	40	7	0	1	12	0	11	1	0	0	8312
0.406	1	0	1	1	40	8	0	1	12	0	15	0	1	0	8312
0.407	1	0	1	1	40	9	0	1	12	0	14	0	1	0	8312
0.408	1	0	1	1	41	0	0	1	12	0	13	0	1	0	8312
0.409	1	0	1	1	41	1	0	1	12	0	12	0	1	0	8312
0.41	1	0	1	1	41	2	0	1	12	0	11	0	1	0	8312
0.411	1	0	1	1	41	3	0	1	12	0	15	0	2	0	8312
0.412	1	0	1	1	41	4	0	1	12	0	14	0	2	0	8312
0.413	1	0	1	1	41	5	0	1	12	0	13	0	2	0	8312
0.414	1	0	1	1	41	6	0	1	12	0	12	0	2	0	8312
0.415	1	0	1	1	41	7	0	1	12	0	11	0	2	0	8312
0.416	1	0	1	1	41	8	0	1	12	0	15	0	3	0	8312
0.417	1	0	1	1	41	9	0	1	12	0	14	0	3	0	8312
0.418	1	0	1	1	42	0	0	1	12	0	13	0	3	0	8312
0.419	1	0	1	1	42	1	0	1	12	0	12	0	3	0	8312
0.42	1	0	1	1	42	2	0	1	12	0	11	0	3	0	8312
0.421	1	0	1	1	42	3	0	1	12	0	15	1	0	0	8312
0.421	1	0	1	1	42	3	0	1	12	1	15	1	0	0	8312
0.422	1	0	1	1	42	4	0	1	12	0	14	1	0	0	8312
0.422	1	0	1	1	42	4	0	1	12	1	14	1	0	0	8312
0.423	1	0	1	1	42	5	0	1	12	0	13	1	0	0	8312
0.423	1	0	1	1	42	5	0	1	12	1	13	1	0	0	8312
0.424	1	0	1	1	42	6	0	1	12	0	12	1	0	0	8312
0.424	1	0	1	1	42	6	0	1	12	1	12	1	0	0	8312
0.425	1	0	1	1	42	7	0	1	12	0	11	1	0	0	8312
0.425	1	0	1	1	42	7	0	1	12	1	11	1	0	0	8312
0.426	1	0	1	1	42	8	0	1	12	0	15	0	1	0	8312
0.426	1	0	1	1	42	8	0	1	12	1	15	255	0	255	0
0.427	1	0	1	1	42	9	0	1	12	0	14	0	1	0	8312
0.427	1	0	1	1	42	9	0	1	12	1	14	255	0	255	0
0.428	1	0	1	1	43	0	0	1	12	0	13	0	1	0	8312
0.428	1	0	1	1	43	0	0	1	12	1	13	255	0	255	0
0.429	1	0	1	1	43	1	0	1	12	0	12	0	1	0	8312
0.429	1	0	1	1	43	1	0	1	12	1	12	255	0	255	0
0.43	1	0	1	1	43	2	0	1	12	0	11	0	1	0	8312
0.43	1	0	1	1	43	2	0	1	12	1	11	255	0	255	0
0.431	1	0	1	1	43	3	0	1	12	0	15	0	2	0	8312
0.431	1	0	1	1	43	3	0	1	12	1	15	255	0	255	0
0.432	1	0	1	1	43	4	0	1	12	0	14	0	2	0	8312
0.432	1	0	1	1	43	4	0	1	12	1	14	255	0	255	0
0.433	1	0	1	1	43	5	0	1	12	0	13	0	2	0	8312
0.433	1	0	1	1	43	5	0	1	12	1	13	255	0	255	0
0.434	1	0	1	1	43	6	0	1	12	0	12	0	2	0	8312
0.434	1	0	1	1	43	6	0	1	12	1	12	255	0	255	0
0.435	1	0	1	1	43	7	0	1	12	0	11	0	2	0	8312
0.435	1	0	1	1	43	7	0	1	12	1	11	255	0	255	0
0.436	1	0	1	1	43	8	0	1	12	0	15	0	3	0	8312
0.436	1	0	1	1	43	8	0	1	12	1	15	255	0	255	0
0.437	1	0	1	1	43	9	0	1	12	0	14	0	3	0	8312
0.437	1	0	1	1	43	9	0	1	12	1	14	255	0	255	0
0.438	1	0	1	1	44	0	0	1	12	0	13	0	3	0	8312
0.438	1	0	1	1	44	0	0	1	12	1	13	255	0	255	0
0.439	1	0	1	1	44	1	0	1	12	0	12	0	3	0	8312
0.439	1	0	1	1	44	1	0	1	12	1	12	255	0	255	0
0.44	1	0	1	1	44	2	0	1	12	0	11	0	3	0	8312
0.44	1	0	1	1	44	2	0	1	12	1	11	255	0	255	0
0.441	1	0	1	1	44	3	0	1	12	0	15	1	0	0	8312
0.441	1	0	1	1	44	3	0	1	12	1	15	1	0	0	8312
0.442	1	0	1	1	44	4	0	1	12	0	14	1	0	0	8312
0.442	1	0	1	1	44	4	0	1	12	1	14	1	0	0	8312
0.443	1	0	1	1	44	5	0	1	12	0	13	1	0	0	8312
0.443	1	0	1	1	44	5	0	1	12	1	13	1	0	0	8312
0.444	1	0	1	1	44	6	0	1	12	0	12	1	0	0	8312
0.444	1	0	1	1	44	6	0	1	12	1	12	1	0	0	8312
0.445	1	0	1	1	44	7	0	1	12	0	11	1	0	0	8312
0.445	1	0	1	1	44	7	0	1	12	1	11	1	0	0	8312
0.446	1	0	1	1	44	8	0	1	12	0	15	0	1	0	8312
0.446	1	0	1	1	44	8	0	1	12	1	15	255	0	255	0
0.447	1	0	1	1	44	9	0	1	12	0	14	0	1	0	8312
0.447	1	0	1	1	44	9	0	1	12	1	14	255	0	255	0
0.448	1	0	1	1	45	0	0	1	12	0	13	0	1	0	8312
0.448	1	0	1	1	45	0	0	1	12	1	13	255	0	255	0
0.449	1	0	1	1	45	1	0	1	12	0	12	0	1	0	8312
0.449	1	0	1	1	45	1	0	1	12	1	12	255	0	255	0
0.45	1	0	1	1	45	2	0	1	12	0	11	0	1	0	8312
0.45	1	0	1	1	45	2	0	1	12	1	11	255	0	255	0
0.451	1	0	1	1	45	3	0	1	12	0	15	0	2	0	8312
0.451	1	0	1	1	45	3	0	1	12	1	15	255	0	255	0
0.452	1	0	1	1	45	4	0	1	12	0	14	0	2	0	8312
0.452	1	0	1	1	45	4	0	1	12	1	14	255	0	255	0
0.453	1	0	1	1	45	5	0	1	12	0	13	0	2	0	8312
0.453	1	0	1	1	45	5	0	1	12	1	13	255	0	255	0
0.454	1	0	1	1	45	6	0	1	12	0	12	0	2	0	8312
0.454	1	0	1	1	45	6	0	1	12	1	12	255	0	255	0
0.455	1	0	1	1	45	7	0	1	12	0	11	0	2	0	8312
0.455	1	0	1	1	45	7	0	1	12	1	11	255	0	255	0
0.456	1	0	1	1	45	8	0	1	12	0	15	0	3	0	8312
0.456	1	0	1	1	45	8	0	1	12	1	15	255	0	255	0
0.457	1	0	1	1	45	9	0	1	12	0	14	0	3	0	8312
0.457	1	0	1	1	45	9	0	1	12	1	14	255	0	255	0
0.458	1	0	1	1	46	0	0	1	12	0	13	0	3	0	8312
0.458	1	0	1	1	46	0	0	1	12	1	13	255	0	255	0
0.459	1	0	1	1	46	1	0	1	12	0	12	0	3	0	8312
0.459	1	0	1	1	46	1	0	1	12	1	12	255	0	255	0
0.46	1	0	1	1	46	2	0	1	12	0	11	0	3	0	8312
0.46	1	0	1	1	46	2	0	1	12	1	11	255	0	255	0
0.461	1	0	1	1	46	3	0	1	12	0	15	1	0	0	8312
0.461	1	0	1	1	46	3	0	1	12	1	15	1	0	0	8312
0.462	1	0	1	1	46	4	0	1	12	0	14	1	0	0	8312
0.462	1	0	1	1	46	4	0	1	12	1	14	1	0	0	8312
0.463	1	0	1	1	46	5	0	1	12	0	13	1	0	0	8312
0.463	1	0	1	1	46	5	0	1	12	1	13	1	0	0	8312
0.464	1	0	1	1	46	6	0	1	12	0	12	1	0	0	8312
0.464	1	0	1	1	46	6	0	1	12	1	12	1	0	0	8312
0.465	1	0	1	1	46	7	0	1	12	0	11	1	0	0	8312
0.465	1	0	1	1	46	7	0	1	12	1	11	1	0	0	8312
0.466	1	0	1	1	46	8	0	1	12	0	15	0	1	0	8312
0.466	1	0	1	1	46	8	0	1	12	1	15	255	0	255	0
0.467	1	0	1	1	46	9	0	1	12	0	14	0	1	0	8312
0.467	1	0	1	1	46	9	0	1	12	1	14	255	0	255	0
0.468	1	0	1	1	47	0	0	1	12	0	13	0	1	0	8312
0.468	1	0	1	1	47	0	0	1	12	1	13	255	0	255	0
0.469	1	0	1	1	47	1	0	1	12	0	12	0	1	0	8312
0.469	1	0	1	1	47	1	0	1	12	1	12	255	0	255	0
0.47	1	0	1	1	47	2	0	1	12	0	11	0	1	0	8312
0.47	1	0	1	1	47	2	0	1	12	1	11	255	0	255	0
0.471	1	0	1	1	47	3	0	1	12	0	15	0	2	0	8312
0.471	1	0	1	1	47	3	0	1	12	1	15	255	0	255	0
0.472	1	0	1	1	47	4	0	1	12	0	14	0	2	0	8312
0.472	1	0	1	1	47	4	0	1	12	1	14	255	0	255	0
0.473	1	0	1	1	47	5	0	1	12	0	13	0	2	0	8312
0.473	1	0	1	1	47	5	0	1	12	1	13	255	0	255	0
0.474	1	0	1	1	47	6	0	1	12	0	12	0	2	0	8312
0.474	1	0	1	1	47	6	0	1	12	1	12	255	0	255	0
0.475	1	0	1	1	47	7	0	1	12	0	11	0	2	0	8312
0.475	1	0	1	1	47	7	0	1	12	1	11	255	0	255	0
0.476	1	0	1	1	47	8	0	1	11	0	10	1	0	0	7621
0.476	1	0	1	1	47	8	0	1	11	1	10	1	0	0	7621
0.477	1	0	1	1	47	9	0	1	12	0	15	0	3	0	8312
0.477	1	0	1	1	47	9	0	1	12	1	15	255	0	255	0
0.478	1	0	1	1	48	0	0	1	12	0	14	0	3	0	8312
0.478	1	0	1	1	48	0	0	1	12	1	14	255	0	255	0
0.479	1	0	1	1	48	1	0	1	12	0	13	0	3	0	8312
0.479	1	0	1	1	48	1	0	1	12	1	13	255	0	255	0
0.48	1	0	1	1	48	2	0	1	12	0	12	0	3	0	8312
0.48	1	0	1	1	48	2	0	1	12	1	12	255	0	255	0
0.481	1	0	1	1	48	3	0	1	12	0	11	0	3	0	8312
0.481	1	0	1	1	48	3	0	1	12	1	11	255	0	255	0
0.482	1	0	1	1	48	4	0	1	12	0	10	0	1	0	7621
0.482	1	0	1	1	48	4	0	1	12	1	10	255	0	255	0
0.483	1	0	1	1	48	5	0	1	12	0	15	1	0	0	8312
0.483	1	0	1	1	48	5	0	1	12	1	15	1	0	0	8312
0.484	1	0	1	1	48	6	0	1	12	0	14	1	0	0	8312
0.484	1	0	1	1	48	6	0	1	12	1	14	1	0	0	8312
0.485	1	0	1	1	48	7	0	1	12	0	13	1	0	0	8312
0.485	1	0	1	1	48	7	0	1	12	1	13	1	0	0	8312
0.486	1	0	1	1	48	8	0	1	12	0	12	1	0	0	8312
0.486	1	0	1	1	48	8	0	1	12	1	12	1	0	0	8312
0.487	1	0	1	1	48	9	0	1	12	0	10	0	2	0	7621
0.487	1	0	1	1	48	9	0	1	12	1	10	255	0	255	0
0.488	1	0	1	1	49	0	0	1	12	0	15	0	1	0	8312
0.488	1	0	1	1	49	0	0	1	12	1	15	255	0	255	0
0.489	1	0	1	1	49	1	0	1	12	0	14	0	1	0	8312
0.489	1	0	1	1	49	1	0	1	12	1	14	255	0	255	0
0.49	1	0	1	1	49	2	0	1	12	0	13	0	1	0	8312
0.49	1	0	1	1	49	2	0	1	12	1	13	255	0	255	0
0.491	1	0	1	1	49	3	0	1	12	0	12	0	1	0	8312
0.491	1	0	1	1	49	3	0	1	12	1	12	255	0	255	0
0.492	1	0	1	1	49	4	0	1	12	0	10	0	3	0	7621
0.492	1	0	1	1	49	4	0	1	12	1	10	255	0	255	0
0.493	1	0	1	1	49	5	0	1	12	0	15	0	2	0	8312
0.493	1	0	1	1	49	5	0	1	12	1	15	255	0	255	0
0.494	1	0	1	1	49	6	0	1	12	0	14	0	2	0	8312
0.494	1	0	1	1	49	6	0	1	12	1	14	255	0	255	0
0.495	1	0	1	1	49	7	0	1	12	0	13	0	2	0	8312
0.495	1	0	1	1	49	7	0	1	12	1	13	255	0	255	0
0.496	1	0	1	1	49	8	0	1	12	0	12	0	2	0	8312
0.496	1	0	1	1	49	8	0	1	12	1	12	255	0	255	0
0.497	1	0	1	1	49	9	0	1	12	0	11	1	0	0	8312
0.497	1	0	1	1	49	9	0	1	12	1	11	1	0	0	8312
0.498	1	0	1	1	50	0	0	1	12	0	15	0	3	0	8312
0.498	1	0	1	1	50	0	0	1	12	1	15	255	0	255	0
0.499	1	0	1	1	50	1	0	1	12	0	14	0	3	0	8312
0.499	1	0	1	1	50	1	0	1	12	1	14	255	0	255	0
0.5	1	0	1	1	50	2	0	1	12	0	13	0	3	0	8312
0.5	1	0	1	1	50	2	0	1	12	1	13	255	0	255	0
0.501	1	0	1	1	50	3	0	1	12	0	12	0	3	0	8312
0.501	1	0	1	1	50	3	0	1	12	1	12	255	0	255	0
0.502	1	0	1	1	50	4	0	1	12	0	11	0	1	0	8312
