time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.719029	2	1	4	1030	0.287227
0.719029	2	1	4	1030	0.287187
0.719029	2	1	4	1030	0.287147
0.719029	2	1	4	1030	0.287107
0.719029	2	1	4	1030	0.287067
0.719029	2	1	4	1030	0.287027
0.719029	2	1	4	1030	0.286987
0.719029	2	1	4	1030	0.286587
0.719029	2	1	4	1030	0.286547
0.719029	2	1	4	1030	0.286507
0.719029	2	1	4	1030	0.286467
0.719029	2	1	4	1030	0.286427
0.719029	2	1	4	1030	0.286387
0.719029	2	1	4	1030	0.286347
0.719029	2	1	4	1030	0.285947
0.719029	2	1	4	1030	0.285907
0.719029	2	1	4	1030	0.285867
0.719029	2	1	4	1030	0.285827
0.719029	2	1	4	1030	0.285787
0.719029	2	1	4	1030	0.285747
0.719029	2	1	4	1030	0.285707
0.719029	2	1	4	1030	0.285307
0.719029	2	1	4	1030	0.285267
0.719029	2	1	4	1030	0.285227
0.719029	2	1	4	1030	0.285187
0.719029	2	1	4	1030	0.285147
0.719029	2	1	4	1030	0.285107
0.719029	2	1	4	1030	0.285067
0.819029	2	1	4	1030	0.384627
0.819029	2	1	4	1030	0.384587
0.819029	2	1	4	1030	0.384547
0.819029	2	1	4	1030	0.384507
0.819029	2	1	4	1030	0.384467
0.819029	2	1	4	1030	0.384427
0.819029	2	1	4	1030	0.384387
0.819029	2	1	4	1030	0.384347
0.819029	2	1	4	1030	0.384307
0.819029	2	1	4	1030	0.384267
0.819029	2	1	4	1030	0.384227
0.819029	2	1	4	1030	0.384187
0.819029	2	1	4	1030	0.384147
0.819029	2	1	4	1030	0.384107
0.819029	2	1	4	1030	0.384067
0.819029	2	1	4	1030	0.384027
0.819029	2	1	4	1030	0.383987
0.819029	2	1	4	1030	0.383947
0.819029	2	1	4	1030	0.383907
0.819029	2	1	4	1030	0.383867
0.819029	2	1	4	1030	0.383827
0.819029	2	1	4	1030	0.383787
0.819029	2	1	4	1030	0.383747
0.819029	2	1	4	1030	0.383707
0.819029	2	1	4	1030	0.383667
0.819029	2	1	4	1030	0.383627
0.819029	2	1	4	1030	0.383587
0.819029	2	1	4	1030	0.383547
0.819029	2	1	4	1030	0.383507
0.819029	2	1	4	1030	0.383467
0.819029	2	1	4	1030	0.383427
0.819029	2	1	4	1030	0.383387
0.819029	2	1	4	1030	0.383347
0.819029	2	1	4	1030	0.383307
0.819029	2	1	4	1030	0.383267
0.819029	2	1	4	1030	0.383227
0.819029	2	1	4	1030	0.383187
0.819029	2	1	4	1030	0.383147
0.819029	2	1	4	1030	0.383107
0.819029	2	1	4	1030	0.383067
0.819029	2	1	4	1030	0.383027
0.819029	2	1	4	1030	0.382987
0.819029	2	1	4	1030	0.382947
0.819029	2	1	4	1030	0.382907
0.819029	2	1	4	1030	0.382867
0.819029	2	1	4	1030	0.382827
