time(s)	cellId	rnti	lcid	packetSize
0.400002	2	1	4	1030
0.400042	2	1	4	1030
0.400082	2	1	4	1030
0.400122	2	1	4	1030
0.400162	2	1	4	1030
0.400202	2	1	4	1030
0.400242	2	1	4	1030
0.400282	2	1	4	1030
0.400322	2	1	4	1030
0.400362	2	1	4	1030
0.400402	2	1	4	1030
0.400442	2	1	4	1030
0.400482	2	1	4	1030
0.400522	2	1	4	1030
0.400562	2	1	4	1030
0.400602	2	1	4	1030
0.400642	2	1	4	1030
0.400682	2	1	4	1030
0.400722	2	1	4	1030
0.400762	2	1	4	1030
0.400802	2	1	4	1030
0.400842	2	1	4	1030
0.400882	2	1	4	1030
0.400922	2	1	4	1030
0.400962	2	1	4	1030
0.401002	2	1	4	1030
0.401042	2	1	4	1030
0.401082	2	1	4	1030
0.401122	2	1	4	1030
0.401162	2	1	4	1030
0.401202	2	1	4	1030
0.401242	2	1	4	1030
0.401282	2	1	4	1030
0.401322	2	1	4	1030
0.401362	2	1	4	1030
0.401402	2	1	4	1030
0.401442	2	1	4	1030
0.401482	2	1	4	1030
0.401522	2	1	4	1030
0.401562	2	1	4	1030
0.401602	2	1	4	1030
0.401642	2	1	4	1030
0.401682	2	1	4	1030
0.401722	2	1	4	1030
0.401762	2	1	4	1030
0.401802	2	1	4	1030
0.401842	2	1	4	1030
0.401882	2	1	4	1030
0.401922	2	1	4	1030
0.401962	2	1	4	1030
0.402002	2	1	4	1030
0.402042	2	1	4	1030
0.402082	2	1	4	1030
0.402122	2	1	4	1030
0.402162	2	1	4	1030
0.402202	2	1	4	1030
0.402242	2	1	4	1030
0.402282	2	1	4	1030
0.402322	2	1	4	1030
0.402362	2	1	4	1030
0.402402	2	1	4	1030
0.402442	2	1	4	1030
0.402482	2	1	4	1030
0.402522	2	1	4	1030
0.402562	2	1	4	1030
0.402602	2	1	4	1030
0.402642	2	1	4	1030
0.402682	2	1	4	1030
0.402722	2	1	4	1030
0.402762	2	1	4	1030
0.402802	2	1	4	1030
0.402842	2	1	4	1030
0.402882	2	1	4	1030
0.402922	2	1	4	1030
0.402962	2	1	4	1030
0.403002	2	1	4	1030
0.403042	2	1	4	1030
0.403082	2	1	4	1030
0.403122	2	1	4	1030
0.403162	2	1	4	1030
0.403202	2	1	4	1030
0.403242	2	1	4	1030
0.403282	2	1	4	1030
0.403322	2	1	4	1030
0.403362	2	1	4	1030
0.403402	2	1	4	1030
0.403442	2	1	4	1030
0.403482	2	1	4	1030
0.403522	2	1	4	1030
0.403562	2	1	4	1030
0.403602	2	1	4	1030
0.403642	2	1	4	1030
0.403682	2	1	4	1030
0.403722	2	1	4	1030
0.403762	2	1	4	1030
0.403802	2	1	4	1030
0.403842	2	1	4	1030
0.403882	2	1	4	1030
0.403922	2	1	4	1030
0.403962	2	1	4	1030
0.404002	2	1	4	1030
0.404042	2	1	4	1030
0.404082	2	1	4	1030
0.404122	2	1	4	1030
0.404162	2	1	4	1030
0.404202	2	1	4	1030
0.404242	2	1	4	1030
0.404282	2	1	4	1030
0.404322	2	1	4	1030
0.404362	2	1	4	1030
0.404402	2	1	4	1030
0.404442	2	1	4	1030
0.404482	2	1	4	1030
0.404522	2	1	4	1030
0.404562	2	1	4	1030
0.404602	2	1	4	1030
0.404642	2	1	4	1030
0.404682	2	1	4	1030
0.404722	2	1	4	1030
0.404762	2	1	4	1030
0.404802	2	1	4	1030
0.404842	2	1	4	1030
0.404882	2	1	4	1030
0.404922	2	1	4	1030
0.404962	2	1	4	1030
0.405002	2	1	4	1030
0.405042	2	1	4	1030
0.405082	2	1	4	1030
0.405122	2	1	4	1030
0.405162	2	1	4	1030
0.405202	2	1	4	1030
0.405242	2	1	4	1030
0.405282	2	1	4	1030
0.405322	2	1	4	1030
0.405362	2	1	4	1030
0.405402	2	1	4	1030
0.405442	2	1	4	1030
0.405482	2	1	4	1030
0.405522	2	1	4	1030
0.405562	2	1	4	1030
0.405602	2	1	4	1030
0.405642	2	1	4	1030
0.405682	2	1	4	1030
0.405722	2	1	4	1030
0.405762	2	1	4	1030
0.405802	2	1	4	1030
0.405842	2	1	4	1030
0.405882	2	1	4	1030
0.405922	2	1	4	1030
0.405962	2	1	4	1030
0.406002	2	1	4	1030
0.406042	2	1	4	1030
0.406082	2	1	4	1030
0.406122	2	1	4	1030
0.406162	2	1	4	1030
0.406202	2	1	4	1030
0.406242	2	1	4	1030
0.406282	2	1	4	1030
0.406322	2	1	4	1030
0.406362	2	1	4	1030
0.406402	2	1	4	1030
0.406442	2	1	4	1030
0.406482	2	1	4	1030
0.406522	2	1	4	1030
0.406562	2	1	4	1030
0.406602	2	1	4	1030
0.406642	2	1	4	1030
0.406682	2	1	4	1030
0.406722	2	1	4	1030
0.406762	2	1	4	1030
0.406802	2	1	4	1030
0.406842	2	1	4	1030
0.406882	2	1	4	1030
0.406922	2	1	4	1030
0.406962	2	1	4	1030
0.407002	2	1	4	1030
0.407042	2	1	4	1030
0.407082	2	1	4	1030
0.407122	2	1	4	1030
0.407162	2	1	4	1030
0.407202	2	1	4	1030
0.407242	2	1	4	1030
0.407282	2	1	4	1030
0.407322	2	1	4	1030
0.407362	2	1	4	1030
0.407402	2	1	4	1030
0.407442	2	1	4	1030
0.407482	2	1	4	1030
0.407522	2	1	4	1030
0.407562	2	1	4	1030
0.407602	2	1	4	1030
0.407642	2	1	4	1030
0.407682	2	1	4	1030
0.407722	2	1	4	1030
0.407762	2	1	4	1030
0.407802	2	1	4	1030
0.407842	2	1	4	1030
0.407882	2	1	4	1030
0.407922	2	1	4	1030
0.407962	2	1	4	1030
0.408002	2	1	4	1030
0.408042	2	1	4	1030
0.408082	2	1	4	1030
0.408122	2	1	4	1030
0.408162	2	1	4	1030
0.408202	2	1	4	1030
0.408242	2	1	4	1030
0.408282	2	1	4	1030
0.408322	2	1	4	1030
0.408362	2	1	4	1030
0.408402	2	1	4	1030
0.408442	2	1	4	1030
0.408482	2	1	4	1030
0.408522	2	1	4	1030
0.408562	2	1	4	1030
0.408602	2	1	4	1030
0.408642	2	1	4	1030
0.408682	2	1	4	1030
0.408722	2	1	4	1030
0.408762	2	1	4	1030
0.408802	2	1	4	1030
0.408842	2	1	4	1030
0.408882	2	1	4	1030
0.408922	2	1	4	1030
0.408962	2	1	4	1030
0.409002	2	1	4	1030
0.409042	2	1	4	1030
0.409082	2	1	4	1030
0.409122	2	1	4	1030
0.409162	2	1	4	1030
0.409202	2	1	4	1030
0.409242	2	1	4	1030
0.409282	2	1	4	1030
0.409322	2	1	4	1030
0.409362	2	1	4	1030
0.409402	2	1	4	1030
0.409442	2	1	4	1030
0.409482	2	1	4	1030
0.409522	2	1	4	1030
0.409562	2	1	4	1030
0.409602	2	1	4	1030
0.409642	2	1	4	1030
0.409682	2	1	4	1030
0.409722	2	1	4	1030
0.409762	2	1	4	1030
0.409802	2	1	4	1030
0.409842	2	1	4	1030
0.409882	2	1	4	1030
0.409922	2	1	4	1030
0.409962	2	1	4	1030
0.410002	2	1	4	1030
0.410042	2	1	4	1030
0.410082	2	1	4	1030
0.410122	2	1	4	1030
0.410162	2	1	4	1030
0.410202	2	1	4	1030
0.410242	2	1	4	1030
0.410282	2	1	4	1030
0.410322	2	1	4	1030
0.410362	2	1	4	1030
0.410402	2	1	4	1030
0.410442	2	1	4	1030
0.410482	2	1	4	1030
0.410522	2	1	4	1030
0.410562	2	1	4	1030
0.410602	2	1	4	1030
0.410642	2	1	4	1030
0.410682	2	1	4	1030
0.410722	2	1	4	1030
0.410762	2	1	4	1030
0.410802	2	1	4	1030
0.410842	2	1	4	1030
0.410882	2	1	4	1030
0.410922	2	1	4	1030
0.410962	2	1	4	1030
0.411002	2	1	4	1030
0.411042	2	1	4	1030
0.411082	2	1	4	1030
0.411122	2	1	4	1030
0.411162	2	1	4	1030
0.411202	2	1	4	1030
0.411242	2	1	4	1030
0.411282	2	1	4	1030
0.411322	2	1	4	1030
0.411362	2	1	4	1030
0.411402	2	1	4	1030
0.411442	2	1	4	1030
0.411482	2	1	4	1030
0.411522	2	1	4	1030
0.411562	2	1	4	1030
0.411602	2	1	4	1030
0.411642	2	1	4	1030
0.411682	2	1	4	1030
0.411722	2	1	4	1030
0.411762	2	1	4	1030
0.411802	2	1	4	1030
0.411842	2	1	4	1030
0.411882	2	1	4	1030
0.411922	2	1	4	1030
0.411962	2	1	4	1030
0.412002	2	1	4	1030
0.412042	2	1	4	1030
0.412082	2	1	4	1030
0.412122	2	1	4	1030
0.412162	2	1	4	1030
0.412202	2	1	4	1030
0.412242	2	1	4	1030
0.412282	2	1	4	1030
0.412322	2	1	4	1030
0.412362	2	1	4	1030
0.412402	2	1	4	1030
0.412442	2	1	4	1030
0.412482	2	1	4	1030
0.412522	2	1	4	1030
0.412562	2	1	4	1030
0.412602	2	1	4	1030
0.412642	2	1	4	1030
0.412682	2	1	4	1030
0.412722	2	1	4	1030
0.412762	2	1	4	1030
0.412802	2	1	4	1030
0.412842	2	1	4	1030
0.412882	2	1	4	1030
0.412922	2	1	4	1030
0.412962	2	1	4	1030
0.413002	2	1	4	1030
0.413042	2	1	4	1030
0.413082	2	1	4	1030
0.413122	2	1	4	1030
0.413162	2	1	4	1030
0.413202	2	1	4	1030
0.413242	2	1	4	1030
0.413282	2	1	4	1030
0.413322	2	1	4	1030
0.413362	2	1	4	1030
0.413402	2	1	4	1030
0.413442	2	1	4	1030
0.413482	2	1	4	1030
0.413522	2	1	4	1030
0.413562	2	1	4	1030
0.413602	2	1	4	1030
0.413642	2	1	4	1030
0.413682	2	1	4	1030
0.413722	2	1	4	1030
0.413762	2	1	4	1030
0.413802	2	1	4	1030
0.413842	2	1	4	1030
0.413882	2	1	4	1030
0.413922	2	1	4	1030
0.413962	2	1	4	1030
0.414002	2	1	4	1030
0.414042	2	1	4	1030
0.414082	2	1	4	1030
0.414122	2	1	4	1030
0.414162	2	1	4	1030
0.414202	2	1	4	1030
0.414242	2	1	4	1030
0.414282	2	1	4	1030
0.414322	2	1	4	1030
0.414362	2	1	4	1030
0.414402	2	1	4	1030
0.414442	2	1	4	1030
0.414482	2	1	4	1030
0.414522	2	1	4	1030
0.414562	2	1	4	1030
0.414602	2	1	4	1030
0.414642	2	1	4	1030
0.414682	2	1	4	1030
0.414722	2	1	4	1030
0.414762	2	1	4	1030
0.414802	2	1	4	1030
0.414842	2	1	4	1030
0.414882	2	1	4	1030
0.414922	2	1	4	1030
0.414962	2	1	4	1030
0.415002	2	1	4	1030
0.415042	2	1	4	1030
0.415082	2	1	4	1030
0.415122	2	1	4	1030
0.415162	2	1	4	1030
0.415202	2	1	4	1030
0.415242	2	1	4	1030
0.415282	2	1	4	1030
0.415322	2	1	4	1030
0.415362	2	1	4	1030
0.415402	2	1	4	1030
0.415442	2	1	4	1030
0.415482	2	1	4	1030
0.415522	2	1	4	1030
0.415562	2	1	4	1030
0.415602	2	1	4	1030
0.415642	2	1	4	1030
0.415682	2	1	4	1030
0.415722	2	1	4	1030
0.415762	2	1	4	1030
0.415802	2	1	4	1030
0.415842	2	1	4	1030
0.415882	2	1	4	1030
0.415922	2	1	4	1030
0.415962	2	1	4	1030
0.416002	2	1	4	1030
0.416042	2	1	4	1030
0.416082	2	1	4	1030
0.416122	2	1	4	1030
0.416162	2	1	4	1030
0.416202	2	1	4	1030
0.416242	2	1	4	1030
0.416282	2	1	4	1030
0.416322	2	1	4	1030
0.416362	2	1	4	1030
0.416402	2	1	4	1030
0.416442	2	1	4	1030
0.416482	2	1	4	1030
0.416522	2	1	4	1030
0.416562	2	1	4	1030
0.416602	2	1	4	1030
0.416642	2	1	4	1030
0.416682	2	1	4	1030
0.416722	2	1	4	1030
0.416762	2	1	4	1030
0.416802	2	1	4	1030
0.416842	2	1	4	1030
0.416882	2	1	4	1030
0.416922	2	1	4	1030
0.416962	2	1	4	1030
0.417002	2	1	4	1030
0.417042	2	1	4	1030
0.417082	2	1	4	1030
0.417122	2	1	4	1030
0.417162	2	1	4	1030
0.417202	2	1	4	1030
0.417242	2	1	4	1030
0.417282	2	1	4	1030
