time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.619029	2	1	4	8309	0.00302856
0.622029	2	1	4	8309	0.0180286
0.623029	2	1	4	8309	0.0180286
0.625029	2	1	4	8309	0.0180286
0.629029	2	1	4	114671	0.00802856
0.630029	2	1	4	95904	0.00302856
0.631029	2	1	4	114671	0.00802856
0.632029	2	1	4	114671	0.00802856
0.633029	2	1	4	114671	0.00802856
0.634029	2	1	4	95904	0.00302856
0.636029	2	1	4	95904	0.00302856
0.640029	2	1	4	114671	0.00802856
0.641029	2	1	4	95904	0.00302856
0.642029	2	1	4	114671	0.00802856
0.643029	2	1	4	114671	0.00802856
0.644029	2	1	4	105115	0.00802856
0.645029	2	1	4	95904	0.00302856
0.647029	2	1	4	95904	0.00302856
0.651029	2	1	4	114671	0.00802856
0.652029	2	1	4	95904	0.00302856
0.653029	2	1	4	114671	0.00802856
0.654029	2	1	4	114671	0.00802856
0.655029	2	1	4	114671	0.00802856
0.656029	2	1	4	95904	0.00302856
0.658029	2	1	4	95904	0.00302856
0.662029	2	1	4	114671	0.00802856
0.663029	2	1	4	95904	0.00302856
0.664029	2	1	4	114671	0.00802856
0.665029	2	1	4	114671	0.00802856
0.666029	2	1	4	114671	0.00802856
0.667029	2	1	4	95904	0.00302856
0.669029	2	1	4	95904	0.00302856
0.673029	2	1	4	114671	0.00802856
0.673457	2	1	4	31967	0.00245714
0.675029	2	1	4	114671	0.00802856
0.676029	2	1	4	28665	0.00802856
0.677029	2	1	4	19109	0.00802856
0.677671	2	1	4	55943	0.00267142
0.679314	2	1	4	15982	0.00231428
0.684029	2	1	4	19109	0.00802856
0.684457	2	1	4	31967	0.00245714
0.686029	2	1	4	19109	0.00802856
0.690314	2	1	4	15982	0.00231428
0.694029	2	1	4	57334	0.00802856
0.701029	2	1	4	76446	0.00802856
0.701529	2	1	4	39961	0.00252857
0.712029	2	1	4	22585	0.00802856
0.715029	2	1	4	59070	0.00802856
0.726029	2	1	4	8309	0.00302856
0.739029	2	1	4	8309	0.00302856
1.31903	2	1	4	8309	0.00302856
1.32003	2	1	4	8309	0.00302856
1.32103	2	1	4	8309	0.0180286
1.32203	2	1	4	8309	0.00802856
1.32303	2	1	4	8309	0.00302856
1.32403	2	1	4	8309	0.00302856
1.32503	2	1	4	95904	0.00302856
1.32603	2	1	4	95904	0.00302856
1.32903	2	1	4	95904	0.00302856
1.33003	2	1	4	95904	0.00302856
1.33103	2	1	4	95904	0.00302856
1.33203	2	1	4	135520	0.00802856
1.33303	2	1	4	135520	0.00802856
1.33403	2	1	4	95904	0.00302856
1.33503	2	1	4	95904	0.00302856
1.33603	2	1	4	95904	0.00302856
1.33703	2	1	4	95904	0.00302856
1.34003	2	1	4	95904	0.00302856
1.34103	2	1	4	95904	0.00302856
1.34203	2	1	4	95904	0.00302856
1.34303	2	1	4	135520	0.00802856
1.34403	2	1	4	135520	0.00802856
1.34503	2	1	4	95904	0.00302856
1.34603	2	1	4	95904	0.00302856
1.34703	2	1	4	95904	0.00302856
1.34803	2	1	4	95904	0.00302856
1.35103	2	1	4	95904	0.00302856
1.35203	2	1	4	95904	0.00302856
1.35303	2	1	4	95904	0.00302856
1.35403	2	1	4	135520	0.00802856
1.35503	2	1	4	135520	0.00802856
1.35603	2	1	4	95904	0.00302856
1.35703	2	1	4	95904	0.00302856
1.35803	2	1	4	95904	0.00302856
1.35896	2	1	4	87913	0.00295714
1.36203	2	1	4	95904	0.00302856
1.36303	2	1	4	95904	0.00302856
1.36403	2	1	4	95904	0.00302856
1.36503	2	1	4	135520	0.00802856
1.36603	2	1	4	135520	0.00802856
1.36703	2	1	4	95904	0.00302856
1.36803	2	1	4	95904	0.00302856
1.36903	2	1	4	95904	0.00302856
1.37003	2	1	4	95904	0.00302856
1.37303	2	1	4	95904	0.00302856
1.37403	2	1	4	95904	0.00302856
1.37503	2	1	4	95904	0.00302856
1.37603	2	1	4	135520	0.00802856
1.37703	2	1	4	135520	0.00802856
1.37803	2	1	4	95904	0.00302856
1.37903	2	1	4	95904	0.00302856
1.38003	2	1	4	95904	0.00302856
1.38103	2	1	4	95904	0.00302856
1.38403	2	1	4	95904	0.00302856
1.38503	2	1	4	95904	0.00302856
1.38603	2	1	4	95904	0.00302856
1.38703	2	1	4	135520	0.00802856
1.38803	2	1	4	135520	0.00802856
1.38903	2	1	4	95904	0.00302856
1.39003	2	1	4	95903	0.00302856
1.39103	2	1	4	95904	0.00302856
1.39203	2	1	4	95904	0.00302856
1.39503	2	1	4	95904	0.00302856
1.39603	2	1	4	95904	0.00302856
1.39703	2	1	4	95904	0.00302856
1.39803	2	1	4	135520	0.00802856
1.39903	2	1	4	135520	0.00802856
1.40003	2	1	4	95904	0.00302856
1.40103	2	1	4	95904	0.00302856
1.40203	2	1	4	95904	0.00302856
1.40303	2	1	4	95904	0.00302856
1.40603	2	1	4	95904	0.00302856
1.40703	2	1	4	95904	0.00302856
1.40803	2	1	4	95904	0.00302856
1.40903	2	1	4	135520	0.00802856
1.41003	2	1	4	135520	0.00802856
1.41103	2	1	4	95904	0.00302856
1.41203	2	1	4	95904	0.00302856
1.41303	2	1	4	95904	0.00302856
1.41403	2	1	4	95904	0.00302856
1.41703	2	1	4	95904	0.00302856
1.41731	2	1	4	15982	0.00231428
1.41831	2	1	4	15982	0.00231428
1.82103	2	1	4	8309	0.00802856
1.82203	2	1	4	8309	0.00802856
1.82303	2	1	4	8309	0.00302856
1.82403	2	1	4	8309	0.00802856
1.82503	2	1	4	8309	0.00302856
1.82603	2	1	4	8309	0.00302856
1.82903	2	1	4	83395	0.00302856
1.83103	2	1	4	83395	0.00302856
1.83203	2	1	4	114671	0.00802856
1.83303	2	1	4	114671	0.00802856
1.83403	2	1	4	83395	0.00302856
1.83503	2	1	4	114671	0.00802856
1.83603	2	1	4	83395	0.00302856
1.83703	2	1	4	83395	0.00302856
1.84003	2	1	4	83395	0.00302856
1.84203	2	1	4	83395	0.00302856
1.84303	2	1	4	114671	0.00802856
1.84403	2	1	4	105115	0.00802856
1.84503	2	1	4	83395	0.00302856
1.84603	2	1	4	114671	0.00802856
1.84703	2	1	4	83395	0.00302856
1.84803	2	1	4	83395	0.00302856
1.85103	2	1	4	83395	0.00302856
1.85303	2	1	4	83395	0.00302856
1.85403	2	1	4	114671	0.00802856
1.85503	2	1	4	114671	0.00802856
1.85603	2	1	4	83395	0.00302856
1.85703	2	1	4	114671	0.00802856
1.85803	2	1	4	83395	0.00302856
1.85903	2	1	4	83395	0.00302856
1.86203	2	1	4	83395	0.00302856
1.86403	2	1	4	83395	0.00302856
1.86503	2	1	4	114671	0.00802856
1.86603	2	1	4	114671	0.00802856
1.86703	2	1	4	83395	0.00302856
1.86803	2	1	4	114671	0.00802856
1.86903	2	1	4	83395	0.00302856
1.87003	2	1	4	83395	0.00302856
1.87303	2	1	4	83395	0.00302856
1.87503	2	1	4	83395	0.00302856
1.87603	2	1	4	114671	0.00802856
1.87703	2	1	4	114671	0.00802856
1.87803	2	1	4	83395	0.00302856
1.87903	2	1	4	114671	0.00802856
1.88003	2	1	4	83395	0.00302856
1.88103	2	1	4	83395	0.00302856
1.88403	2	1	4	83395	0.00302856
1.88603	2	1	4	83395	0.00302856
1.88703	2	1	4	114671	0.00802856
1.88803	2	1	4	114671	0.00802856
1.88903	2	1	4	83395	0.00302856
1.89003	2	1	4	114671	0.00802856
1.89103	2	1	4	83395	0.00302856
1.89203	2	1	4	83395	0.00302856
1.89503	2	1	4	83395	0.00302856
1.89703	2	1	4	83395	0.00302856
1.89803	2	1	4	114671	0.00802856
1.89903	2	1	4	114671	0.00802856
1.90003	2	1	4	83395	0.00302856
1.90103	2	1	4	114671	0.00802856
1.90203	2	1	4	83395	0.00302856
1.90303	2	1	4	83395	0.00302856
1.90603	2	1	4	83395	0.00302856
1.90803	2	1	4	83395	0.00302856
1.90903	2	1	4	114671	0.00802856
1.91003	2	1	4	114671	0.00802856
1.91081	2	1	4	62546	0.00281428
1.91203	2	1	4	114671	0.00802856
1.91246	2	1	4	27797	0.00245714
1.91331	2	1	4	13897	0.00231428
1.91631	2	1	4	13897	0.00231428
1.91831	2	1	4	13897	0.00231428
1.92003	2	1	4	19109	0.00802856
