time(s)	cellId	rnti	lcid	packetSize
0.401	2	1	4	8309
0.402	2	1	4	8309
0.403	2	1	4	8309
0.404	2	1	4	8309
0.405	2	1	4	8309
0.421	2	1	4	8309
0.421	2	1	4	8309
0.422	2	1	4	8309
0.422	2	1	4	8309
0.423	2	1	4	8309
0.423	2	1	4	8309
0.424	2	1	4	8309
0.424	2	1	4	8309
0.425	2	1	4	8309
0.425	2	1	4	8309
0.441	2	1	4	8309
0.441	2	1	4	8309
0.442	2	1	4	8309
0.442	2	1	4	8309
0.443	2	1	4	8309
0.443	2	1	4	8309
0.444	2	1	4	8309
0.444	2	1	4	8309
0.445	2	1	4	8309
0.445	2	1	4	8309
0.461	2	1	4	8309
0.461	2	1	4	8309
0.462	2	1	4	8309
0.462	2	1	4	8309
0.463	2	1	4	8309
0.463	2	1	4	8309
0.464	2	1	4	8309
0.464	2	1	4	8309
0.465	2	1	4	8309
0.465	2	1	4	8309
0.476	2	1	4	7618
0.476	2	1	4	7618
0.483	2	1	4	8309
0.483	2	1	4	8309
0.484	2	1	4	8309
0.484	2	1	4	8309
0.485	2	1	4	8309
0.485	2	1	4	8309
0.486	2	1	4	8309
0.486	2	1	4	8309
0.497	2	1	4	8309
0.497	2	1	4	8309
0.503	2	1	4	8309
0.503	2	1	4	8309
0.504	2	1	4	8309
0.504	2	1	4	8309
0.505	2	1	4	8309
0.505	2	1	4	8309
0.506	2	1	4	8309
0.506	2	1	4	8309
0.517	2	1	4	8309
0.517	2	1	4	8309
0.523	2	1	4	8309
0.523	2	1	4	8309
0.524	2	1	4	8309
0.524	2	1	4	8309
0.525	2	1	4	8309
0.525	2	1	4	8309
0.526	2	1	4	8309
0.526	2	1	4	8309
0.537	2	1	4	8309
0.537	2	1	4	8309
0.543	2	1	4	8309
0.543	2	1	4	8309
0.544	2	1	4	8309
0.544	2	1	4	8309
0.545	2	1	4	8309
0.545	2	1	4	8309
0.546	2	1	4	8309
0.546	2	1	4	8309
0.556	2	1	4	7618
0.556	2	1	4	7618
0.563	2	1	4	8309
0.563	2	1	4	8309
0.564	2	1	4	8309
0.564	2	1	4	8309
0.565	2	1	4	8309
0.565	2	1	4	8309
0.567	2	1	4	8309
0.567	2	1	4	8309
0.576	2	1	4	8309
0.576	2	1	4	8309
0.583	2	1	4	8309
0.583	2	1	4	8309
0.584	2	1	4	8309
0.584	2	1	4	8309
0.585	2	1	4	8309
0.585	2	1	4	8309
0.587	2	1	4	8309
0.587	2	1	4	8309
0.596	2	1	4	8309
0.596	2	1	4	8309
0.603	2	1	4	8309
0.603	2	1	4	8309
0.604	2	1	4	8309
0.604	2	1	4	8309
0.605	2	1	4	8309
0.605	2	1	4	8309
0.607	2	1	4	8309
0.607	2	1	4	8309
0.616	2	1	4	8309
0.616	2	1	4	8309
0.621	2	1	4	114671
0.621	2	1	4	8309
0.623	2	1	4	114671
0.623	2	1	4	95904
0.624	2	1	4	114671
0.624	2	1	4	95904
0.625	2	1	4	114671
0.625	2	1	4	95904
0.627	2	1	4	95904
0.627	2	1	4	95904
0.631	2	1	4	95904
0.631	2	1	4	95904
0.632	2	1	4	114671
0.632	2	1	4	95904
0.633	2	1	4	95904
0.633	2	1	4	95904
0.634	2	1	4	114671
0.634	2	1	4	95904
0.635	2	1	4	114671
0.635	2	1	4	95904
0.636	2	1	4	105115
0.636	2	1	4	87913
0.638	2	1	4	95904
0.638	2	1	4	95904
0.642	2	1	4	95904
0.642	2	1	4	95904
0.643	2	1	4	114671
0.643	2	1	4	95904
0.644	2	1	4	95904
0.644	2	1	4	95904
0.645	2	1	4	114671
0.645	2	1	4	95904
0.646	2	1	4	114671
0.646	2	1	4	95904
0.647	2	1	4	114671
0.647	2	1	4	95904
0.649	2	1	4	95904
0.649	2	1	4	95904
0.653	2	1	4	95904
0.653	2	1	4	95904
0.654	2	1	4	114671
0.654	2	1	4	95904
0.655	2	1	4	95904
0.655	2	1	4	95904
0.656	2	1	4	114671
0.656	2	1	4	95904
0.657	2	1	4	114671
0.657	2	1	4	95904
0.658	2	1	4	114671
0.658	2	1	4	95904
0.66	2	1	4	95904
0.66	2	1	4	95904
0.664	2	1	4	95904
0.664	2	1	4	95904
0.665	2	1	4	114671
0.665	2	1	4	95904
0.666	2	1	4	95904
0.666	2	1	4	95904
0.667	2	1	4	114671
0.667	2	1	4	95904
0.668	2	1	4	28665
0.668	2	1	4	9550
0.669	2	1	4	19109
0.669	2	1	4	6681
0.671	2	1	4	31967
0.671	2	1	4	19611
0.675	2	1	4	55943
0.675	2	1	4	47210
0.676	2	1	4	19109
0.676	2	1	4	6681
0.677	2	1	4	15982
0.677	2	1	4	9809
0.678	2	1	4	19109
0.678	2	1	4	6681
0.679	2	1	4	25788
0.68	2	1	4	25788
0.682	2	1	4	31967
0.682	2	1	4	19611
0.686	2	1	4	57334
0.686	2	1	4	45819
0.687	2	1	4	25788
0.688	2	1	4	15982
0.688	2	1	4	9809
0.693	2	1	4	76446
0.693	2	1	4	52494
0.696	2	1	4	63937
0.696	2	1	4	13429
0.699	2	1	4	39961
0.699	2	1	4	37404
0.7	2	1	4	25788
0.703	2	1	4	63937
0.703	2	1	4	13429
0.704	2	1	4	22585
0.704	2	1	4	3206
0.707	2	1	4	59070
0.707	2	1	4	18296
0.714	2	1	4	118144
0.714	2	1	4	62371
0.716	2	1	4	47952
0.716	2	1	4	3626
0.717	2	1	4	25788
0.72	2	1	4	8309
0.72	2	1	4	8309
0.723	2	1	4	8309
0.723	2	1	4	8309
0.734	2	1	4	8309
0.734	2	1	4	8309
0.736	2	1	4	8309
0.736	2	1	4	8309
0.737	2	1	4	13158
0.737	2	1	4	8309
0.74	2	1	4	8309
0.74	2	1	4	8309
0.743	2	1	4	8309
0.743	2	1	4	8309
0.754	2	1	4	8309
0.754	2	1	4	8309
0.756	2	1	4	8309
0.756	2	1	4	8309
0.757	2	1	4	8309
0.757	2	1	4	8309
0.76	2	1	4	8309
0.76	2	1	4	8309
0.763	2	1	4	8309
0.763	2	1	4	8309
0.774	2	1	4	8309
0.774	2	1	4	8309
0.776	2	1	4	8309
0.776	2	1	4	8309
0.777	2	1	4	8309
0.777	2	1	4	8309
0.78	2	1	4	8309
0.78	2	1	4	8309
0.783	2	1	4	8309
0.783	2	1	4	8309
0.794	2	1	4	8309
0.794	2	1	4	8309
0.796	2	1	4	7618
0.796	2	1	4	7618
0.797	2	1	4	8309
0.797	2	1	4	8309
0.8	2	1	4	8309
0.8	2	1	4	8309
0.803	2	1	4	8309
0.803	2	1	4	8309
0.814	2	1	4	8309
0.814	2	1	4	8309
0.816	2	1	4	8309
0.816	2	1	4	8309
