Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	streamId	rnti	tbSize	mcs	rv	SINR(dB)	CQI	corrupt	TBler
0.403929	DL	40	3	0	1	12	1	0	0	1	8312	0	0	-3.5666	0	1	1
0.404929	DL	40	4	0	1	12	1	0	0	1	8312	0	0	-3.5666	0	1	1
0.405929	DL	40	5	0	1	12	1	0	0	1	8312	0	0	-3.5666	0	1	1
0.406929	DL	40	6	0	1	12	1	0	0	1	8312	0	0	-3.5666	0	1	1
0.407929	DL	40	7	0	1	12	1	0	0	1	8312	0	0	-3.5666	0	1	1
0.408929	DL	40	8	0	1	12	1	0	0	1	8312	0	1	-3.5666	0	1	1
0.409929	DL	40	9	0	1	12	1	0	0	1	8312	0	1	-3.5666	0	1	1
0.410929	DL	41	0	0	1	12	1	0	0	1	8312	0	1	-3.5666	0	1	1
0.411929	DL	41	1	0	1	12	1	0	0	1	8312	0	1	-3.5666	0	1	1
0.412929	DL	41	2	0	1	12	1	0	0	1	8312	0	1	-3.5666	0	1	1
0.413929	DL	41	3	0	1	12	1	0	0	1	8312	0	2	-3.5666	0	1	1
0.414929	DL	41	4	0	1	12	1	0	0	1	8312	0	2	-3.5666	0	1	1
0.415929	DL	41	5	0	1	12	1	0	0	1	8312	0	2	-5.81768	0	1	1
0.416929	DL	41	6	0	1	12	1	0	0	1	8312	0	2	-5.81768	0	1	1
0.417929	DL	41	7	0	1	12	1	0	0	1	8312	0	2	-5.81768	0	1	1
0.418929	DL	41	8	0	1	12	1	0	0	1	8312	0	3	-5.81768	0	1	1
0.419929	DL	41	9	0	1	12	1	0	0	1	8312	0	3	-5.81768	0	1	1
0.420929	DL	42	0	0	1	12	1	0	0	1	8312	0	3	-5.81768	0	1	1
0.421929	DL	42	1	0	1	12	1	0	0	1	8312	0	3	-5.81768	0	1	1
0.422929	DL	42	2	0	1	12	1	0	0	1	8312	0	3	-5.81768	0	1	1
0.423929	DL	42	3	0	1	12	1	0	0	1	8312	0	0	-8.82798	0	1	1
