Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
7.1427e-05	UE  PHY Rxed	0	0	0	2	0	0	MIB
0.00507143	UE  PHY Rxed	0	5	0	2	0	0	SIB1
0.0100714	UE  PHY Rxed	1	0	0	2	0	0	MIB
0.0150714	UE  PHY Rxed	1	5	0	2	0	0	SIB1
0.0200714	UE  PHY Rxed	2	0	0	2	0	0	MIB
0.0210714	UE  PHY Rxed	2	1	0	2	0	0	RAR
0.0250714	UE  PHY Rxed	2	5	0	2	1	0	SIB1
0.0300714	UE  PHY Rxed	3	0	0	2	1	0	MIB
0.0350714	UE  PHY Rxed	3	5	0	2	1	0	SIB1
0.0400714	UE  PHY Rxed	4	0	0	2	1	0	MIB
0.0450714	UE  PHY Rxed	4	5	0	2	1	0	SIB1
0.0500714	UE  PHY Rxed	5	0	0	2	1	0	MIB
0.0550714	UE  PHY Rxed	5	5	0	2	1	0	SIB1
0.0600714	UE  PHY Rxed	6	0	0	2	1	0	MIB
0.0650714	UE  PHY Rxed	6	5	0	2	1	0	SIB1
0.0700714	UE  PHY Rxed	7	0	0	2	1	0	MIB
0.0750714	UE  PHY Rxed	7	5	0	2	1	0	SIB1
0.0760714	UE  PHY Rxed	7	6	0	2	1	0	UL_DCI
0.0800714	UE  PHY Rxed	8	0	0	2	1	0	MIB
0.0850714	UE  PHY Rxed	8	5	0	2	1	0	SIB1
0.0900714	UE  PHY Rxed	9	0	0	2	1	0	MIB
0.0950714	UE  PHY Rxed	9	5	0	2	1	0	SIB1
0.100071	UE  PHY Rxed	10	0	0	2	1	0	MIB
0.105071	UE  PHY Rxed	10	5	0	2	1	0	SIB1
0.110071	UE  PHY Rxed	11	0	0	2	1	0	MIB
0.115071	UE  PHY Rxed	11	5	0	2	1	0	SIB1
0.120071	UE  PHY Rxed	12	0	0	2	1	0	MIB
0.125071	UE  PHY Rxed	12	5	0	2	1	0	SIB1
0.130071	UE  PHY Rxed	13	0	0	2	1	0	MIB
0.135071	UE  PHY Rxed	13	5	0	2	1	0	SIB1
0.140071	UE  PHY Rxed	14	0	0	2	1	0	MIB
0.145071	UE  PHY Rxed	14	5	0	2	1	0	SIB1
0.150071	UE  PHY Rxed	15	0	0	2	1	0	MIB
0.155071	UE  PHY Rxed	15	5	0	2	1	0	SIB1
0.156071	UE  PHY Rxed	15	6	0	2	1	0	UL_DCI
0.160071	UE  PHY Rxed	16	0	0	2	1	0	MIB
0.165071	UE  PHY Rxed	16	5	0	2	1	0	SIB1
0.170071	UE  PHY Rxed	17	0	0	2	1	0	MIB
0.175071	UE  PHY Rxed	17	5	0	2	1	0	SIB1
0.180071	UE  PHY Rxed	18	0	0	2	1	0	MIB
0.185071	UE  PHY Rxed	18	5	0	2	1	0	SIB1
0.190071	UE  PHY Rxed	19	0	0	2	1	0	MIB
0.195071	UE  PHY Rxed	19	5	0	2	1	0	SIB1
0.200071	UE  PHY Rxed	20	0	0	2	1	0	MIB
0.205071	UE  PHY Rxed	20	5	0	2	1	0	SIB1
